Subset,Variable,Exclude,Avg_mean,Subset_mean,Delta,Avg_count,Subset_count,Avg_stdev,Subset_stdev,Significance
generation: Millennials (1979 - ),D_Children 6 To 12,,0.234937611,0.301101591,0.06616398,5610,1634,0.593593934,0.638554139,2.27471588
state: South Carolina,D_Small Town Or Rural City,,0.340777133,0.5,0.159222867,6717,138,0.474005831,0.5018215,2.274065215
generation: Millennials (1979 - ),PT_Changed/Moved to a new location,,0.021664766,0.043970686,0.02230592,5262,1501,0.14560025,0.205098244,2.273483246
occupation: Other,U_Personal uses - Shopping/errands,,0.978590544,1,0.021409456,1121,89,0.144809521,0,2.273257197
gender: Female,PSY_Fuel economy is a leading consideration in my purchase decision,,4.088208156,4.17358171,0.085373554,5419,2362,0.962362636,0.909461654,2.272854393
shop segment: Large Pickup,UP_Personal uses - To and from work,,0.611611612,0.9,0.288388388,999,10,0.487627796,0.316227766,2.272561253
gender: Female,S_Door Handles - Exterior,,5.720327422,5.895573212,0.175245791,2199,881,1.160661182,1.18052027,2.271939689
occupation: Student,PSY_My vehicle is a reflection of my achievement,,3.142405063,3.90625,0.763844937,5372,32,1.29921708,1.117583078,2.271206618
state: Wisconsin,D_White/Caucasian,,0.694140566,0.820512821,0.126372254,6673,117,0.460805015,0.385410319,2.270373808
state: Mississippi,PSY_I want to be able to tow heavy loads,,2.003389192,2.755102041,0.751712849,5311,49,1.293176282,1.377355743,2.268578889
ethnicity: Asian,D_Pre-Family - Income Over $80K,,0.04373065,0.126984127,0.083253477,5168,252,0.204514972,0.333617788,2.267498069
model: Ford Fusion,S_Passenger Seat Adjustability,,5.391064026,5.864864865,0.473800839,2171,111,1.385072931,1.289725034,2.267349499
"DMA: Greensboro et al, NC (518)",S_Overall Experience with Service Dept.,,5.690191388,6.666666667,0.976475279,1672,6,1.440526356,0.516397779,2.26718199
education: Other (Trade School),PR_Advertising/Promotion,,3.31087344,3.59437751,0.28350407,5610,249,1.288471913,1.164031039,2.266954292
education: Some High School,"PSY_When I drive for fun, I mainly prefer to relax and listen to music or talk",,4.089163744,4.46875,0.379586256,5417,64,0.97285289,0.796196315,2.264761297
lifestage_3: Older-Family - Income Over $80K,UF_Personal Use: School Transportation by Student,,0.443026436,1.418604651,0.975578215,1097,43,1.108481384,1.665226399,2.264488495
"DMA: Richmond-Petersburg, VA (556)",Shop_Considered New / Used,,0.912560722,1,0.087439278,2882,17,0.28252672,0,2.261233994
lifestage_2: Pre-Family (No Children/Age Res <45),IS_Cars.com,,0.098732369,0.149068323,0.050335954,5601,805,0.298328977,0.356377227,2.260192885
dispose segment: Did Not Own,"PR_Interactive Information System (OnStar, mbrace, iDrive, etc.)",,3.423776718,3.663716814,0.239940096,5661,339,1.201615495,1.148273359,2.259674542
cross shop: Yes,PSY_I will easily switch brands for price or features,,3.323011311,3.432971649,0.109960338,5393,2857,1.302482386,1.26543884,2.259167178
occupation: Service Worker,"PSY_I prefer vehicles that provide the softest, most comfortable ride quality",,4.142883583,4.409090909,0.266207326,5403,110,0.93233631,0.733165245,2.2586363
education: Some College,PR_CVT,,3.616357504,3.745620182,0.129262678,5930,1427,1.21136278,1.171978861,2.257737279
model: Toyota Camry Hybrid,PR_Overall Safety of the Vehicle,,4.522806407,4.736111111,0.213304704,5744,72,0.71268846,0.47450658,2.25703398
dispose segment: Smaller Car,D_Post-Family - Income $80K or Less,,0.294311146,0.343638526,0.04932738,5168,1682,0.45577658,0.475063434,2.256222352
occupation: Health Care,PR_Leasing Terms,,3.09066918,3.382417582,0.291748402,5305,455,1.680862701,1.599462562,2.256182378
state: Arkansas,PSY_My vehicle is a reflection of my achievement,,3.142405063,3.833333333,0.69092827,5372,36,1.29921708,1.082325539,2.256122572
ethnicity: Native American,S_OVERALL Performance of Climate Control System,,5.680625863,6.333333333,0.65270747,2173,24,1.251583592,0.816496581,2.255943165
marital status: Other,PR_Dealer Reputation,,4.080631025,4.313364055,0.23273303,5705,217,0.998149561,0.89930849,2.25549321
lifestage: Partnered With Children,D_Gender_N,,1.45186863,1.65060241,0.19873378,7064,83,0.49771321,0.479678117,2.254599605
education: High School Graduate,S_Ease of Customization,,5.138461538,5.611940299,0.47347876,1170,134,1.511736019,1.376005157,2.253996165
lifestage_3: Younger-Family - Income $80K or Less,U_Personal uses - Shopping/errands,,0.978590544,1,0.021409456,1121,87,0.144809521,0,2.252639045
state: Oregon,D_White/Caucasian,,0.694140566,0.878787879,0.184647312,6673,33,0.460805015,0.331433983,2.251922945
occupation: Other,D_Age < 35 / Income $70K or Less / No College Degree,,0.082209173,0.141263941,0.059054767,6301,538,0.274704935,0.348617756,2.251462663
gender: Female,PR_Advertising/Promotion,,3.31087344,3.426524765,0.115651324,5610,2443,1.288471913,1.287748798,2.251218977
ethnicity: White/Caucasian,IS_Consumer Reports,,0.297625424,0.333939709,0.036314285,5601,3848,0.4572547,0.471679761,2.250640809
lifestage_3: Younger-Family - Income $80K or Less,PR_Audiovisual System,,3.826868653,3.991935484,0.165066831,6007,620,1.059968726,1.054997858,2.250634092
education: High School Graduate,PR_Technical Innovations,,4.054252713,4.189606742,0.135354029,5714,712,0.886641794,0.922757357,2.250527508
"DMA: Flint-Saginaw et al, MI (513)",D_Post-Family - Income $80K or Less,,0.294311146,0.65,0.355688854,5168,20,0.45577658,0.489360485,2.250360494
region: Central Region,PT_Previous lease expired/was about to expire,,0.093690612,0.138461538,0.044770927,5262,975,0.291425499,0.345561015,2.24994845
state: Michigan,D_Post-Family - Income $80K or Less,,0.294311146,0.462809917,0.168498772,5168,121,0.45577658,0.500688232,2.249866138
model: Kia Optima,PSY_There are lots of different brands of vehicles that I would consider buying,,3.339570211,3.673611111,0.3340409,5398,144,1.258844405,1.056646371,2.249216575
lifestage_3: Older-Family - Income $80K or Less,PR_Interior Storage,,3.94982613,4.112612613,0.162786482,6039,444,0.907971152,0.891861079,2.249206197
lifestage_3: Younger-Family - Income $80K or Less,PSY_There are lots of different brands of vehicles that I would consider buying,,3.339570211,3.55666004,0.217089829,5398,503,1.258844405,1.256168199,2.24916295
gender: Female,S_Ease of Loading/Unloading Cargo,,5.663757464,5.84059633,0.176838866,2177,872,1.191242258,1.191648556,2.249009056
lifestage_3: Older-Family - Income $80K or Less,"PSY_I want a basic, no-frills vehicle that does the job",,2.647792885,2.910994764,0.263201879,5369,382,1.370256779,1.338873485,2.247960044
gender: Female,S_Interior Lighting,,5.680821918,5.86139748,0.180575562,2190,873,1.222952138,1.217338942,2.247723758
lifestage: Single With Children,PSY_There are lots of different brands of vehicles that I would consider buying,,3.339570211,3.593023256,0.253453045,5398,344,1.258844405,1.227744449,2.247425941
occupation: Other,PR_Advice of Friends/Relatives,,3.152197213,3.401826484,0.249629271,5598,438,1.369694711,1.357476575,2.247027649
state: Michigan,Shop_Purchase Price (100's),,27159.34451,28862.72656,1703.382052,4354,128,5403.921078,5095.121699,2.245902006
generation: Leading Edge Boomers (1946 - 1959),PR_Overall Quietness,,4.193345473,4.276190476,0.082845004,6041,1575,0.848466916,0.777240232,2.245008313
cross shop: No,S_OVERALL Driving Performance,,5.91559633,6.079326923,0.163730593,2180,832,1.130833197,1.069635847,2.244900374
shop segment: No Other Make Considered,S_OVERALL Driving Performance,,5.91559633,6.079326923,0.163730593,2180,832,1.130833197,1.069635847,2.244900374
"DMA: San Antonio, TX (641)",S_Overall Experience with Service Dept.,,5.690191388,6.545454545,0.855263158,1672,11,1.440526356,0.687551651,2.244087786
generation: Matures (1945 and Earlier),PT_I get a new vehicle on a regular basis,,0.077347016,0.140997831,0.063650814,5262,461,0.267166653,0.34839739,2.242886151
"occupation: Teacher, Educator",D_Age 35 + / Income $70K or Less / College Degree,,0.130931598,0.216138329,0.08520673,6301,347,0.337352303,0.41220409,2.242772084
lifestage_3: Post-Family - Income $80K or Less,"PSY_I prefer vehicles that provide the softest, most comfortable ride quality",,4.142883583,4.241767068,0.098883485,5403,1245,0.93233631,0.83253193,2.242500459
state: Texas,"PSY_I prefer vehicles that provide the softest, most comfortable ride quality",,4.142883583,4.308510638,0.165627055,5403,376,0.93233631,0.833007028,2.242461485
dispose segment: SUV,U_Personal uses - Shopping/errands,,0.978590544,1,0.021409456,1121,86,0.144809521,0,2.242202205
model: Buick Verano,PR_Overall Quietness,,4.193345473,4.375586854,0.182241382,6041,213,0.848466916,0.700246088,2.241803109
dispose segment: Luxury Car,D_Post-Family - Income Over $80K,,0.148413313,0.270833333,0.122420021,5168,192,0.355543614,0.445551994,2.241489579
"DMA: St. Louis, MO (609)",D_Married Without Children,,0.365718375,0.584615385,0.218897009,5589,65,0.481674119,0.496623213,2.241344119
model: Honda Accord Hybrid Sdn,D_Total Family Pre-Tax Income,,80.46763704,137.0535714,56.58593439,6458,56,68.15409225,112.7498308,2.241273847
model: Mazda6,IS_Kelly Blue Book (KBB),,0.225316908,0.391666667,0.166349759,5601,120,0.417828156,0.490169467,2.240978451
lifestage_2: Younger-Family (Age Oldest Child 1-12),PSY_I just want the basics on my vehicle - no extras,,2.609139885,2.814917127,0.205777242,5383,724,1.33914774,1.417729515,2.240680741
residence: Farming Area,D_Age Bracket,,50.00797679,53.57718121,3.569204413,6895,298,16.62206635,16.30524536,2.240410411
occupation: Health Care,D_Total # Children In Household,,0.614795009,0.807909605,0.193114596,5610,531,1.018685474,1.16425276,2.239942442
"DMA: Greensboro et al, NC (518)",S_Engine Performance,,5.685025034,6.571428571,0.886403537,2197,7,1.209788049,0.534522484,2.239679709
lifestage_2: Pre-Family (No Children/Age Res <45),PSY_Price is most important to me when buying a new vehicle,,3.809267841,3.955345061,0.14607722,5395,739,1.033973925,1.006433497,2.239361416
ethnicity: Hispanic/Latino,D_Single With Children,,0.099302201,0.16036036,0.06105816,5589,555,0.299094098,0.367270958,2.23921692
"DMA: Los Angeles, CA (803)","PR_Interactive Information System (OnStar, mbrace, iDrive, etc.)",,3.423776718,3.661585366,0.237808648,5661,328,1.201615495,1.129850705,2.238723135
occupation: Armed Services - Retired,PR_Overall Experience with Selling Dealership,,4.209180098,4.578947368,0.36976727,5708,38,0.941446695,0.598718404,2.238273738
occupation: Other,PSY_I want to look good when driving my vehicle,,3.787968808,3.995098039,0.207129231,5386,408,1.099663186,1.092739267,2.238142031
dispose segment: Did Not Dispose,PSY_I want to be able to tow heavy loads,,2.003389192,2.173,0.169610808,5311,1000,1.293176282,1.343456689,2.237591817
model: Buick Regal,PSY_I prefer vehicles that provide superior acceleration,,3.71792976,4.005376344,0.287446584,5410,186,1.05036426,1.042332684,2.236391959
"DMA: Los Angeles, CA (803)",PSY_I want my vehicle to stand out in a crowd,,3.490713224,3.726688103,0.235974879,5384,311,1.174812736,1.092154557,2.236070818
lifestage_3: Older-Family - Income $80K or Less,PR_Acceleration From Stop,,4.031105228,4.191111111,0.160005883,6044,450,0.93916848,0.884869656,2.235371392
"DMA: Detroit, MI (505)",D_White/Caucasian,,0.694140566,0.816,0.121859434,6673,125,0.460805015,0.389043492,2.235043639
lifestage_2: Pre-Family (No Children/Age Res <45),PSY_Vehicles are a 'tool' or a part of the 'gear' in an active outdoors lifestyle,,3.040366287,3.225067385,0.184701099,5351,742,1.255811231,1.284924394,2.234154348
generation: Matures (1945 and Earlier),Shop_Ever Owned/Leased a Vehicle of this Brand Before ?,,0.461935484,0.597826087,0.135890603,2325,184,0.498656237,0.491674569,2.233892592
ethnicity: African American/Black,PR_Fun To Drive,,4.223808733,4.348894349,0.125085616,6023,814,0.9064793,0.911127064,2.23385566
ethnicity: Native American,U_Personal uses - Vacation trips,,0.826048171,1,0.173951829,1121,7,0.379237244,0,2.233665447
"DMA: Providence et al, RI-MA (521)",U_Personal uses - Vacation trips,,0.826048171,1,0.173951829,1121,7,0.379237244,0,2.233665447
"DMA: Jacksonville, FL (561)",U_Personal uses - Vacation trips,,0.826048171,1,0.173951829,1121,7,0.379237244,0,2.233665447
"DMA: Denver, CO (751)",U_Personal uses - Vacation trips,,0.826048171,1,0.173951829,1121,7,0.379237244,0,2.233665447
dispose segment: Small Pickup,U_Personal uses - Vacation trips,,0.826048171,1,0.173951829,1121,7,0.379237244,0,2.233665447
dispose segment: Did Not Own,D_Age < 35 / Income More than $70K / College Degree,,0.056181558,0.126470588,0.07028903,6301,340,0.230290268,0.332868842,2.233567861
model: Ford Fusion Energi,PSY_Fuel economy is a leading consideration in my purchase decision,,4.088208156,4.487804878,0.399596722,5419,41,0.962362636,0.675349954,2.232906702
lifestage: Single With Children,PSY_I prefer vehicles that provide superior handling and cornering agility,,4.087527757,4.262536873,0.175009116,5404,339,0.906676183,0.845514126,2.231493698
lifestage: Married Without Children,A_Mpg - Highway,,32.30363423,33.39641944,1.092785205,1706,391,6.864534101,4.868937384,2.23106857
dispose segment: Did Not Own,"S_Flat Tire Preparedness (spare, run flat, etc.)",,5.141481481,5.742424242,0.600942761,1350,66,1.503141518,1.268683219,2.230883715
lifestage_3: Younger-Family - Income $80K or Less,PSY_Luxury is Not Important Unless it Has Purpose,,3.472319941,3.670634921,0.19831498,5401,504,1.121516156,1.16213059,2.229932404
dispose segment: Larger Car,D_Age 35 + / Income $70K or Less / No College Degree,,0.204570703,0.282786885,0.078216182,6301,488,0.403419582,0.450815847,2.229202006
generation: Millennials (1979 - ),S_2nd row Seat Roominess,,5.500232883,5.745762712,0.245529829,2147,413,1.277219918,1.236877807,2.229120263
lifestage: Other Without Children,D_Gender_N,,1.45186863,1.612403101,0.160534471,7064,129,0.49771321,0.489101177,2.229022836
generation: Millennials (1979 - ),U_Personal uses - Transporting people,,0.827832293,0.903225806,0.075393514,1121,248,0.377694643,0.296247922,2.22830015
generation: Matures (1945 and Earlier),PR_Dealer Location,,3.630715532,3.775172414,0.144456882,5730,725,1.151970851,0.977900208,2.22742518
state: Mississippi,PR_Advertising/Promotion,,3.31087344,3.928571429,0.617697988,5610,56,1.288471913,1.233725221,2.227386239
occupation: Other,PSY_I prefer vehicles that provide superior acceleration,,3.71792976,3.912408759,0.194478999,5410,411,1.05036426,1.034580998,2.226119334
gender: Female,PR_Seating Versatility/Stowaway,,3.764960827,3.854394568,0.089433741,5999,2651,1.035272778,1.052901885,2.224804414
lifestage_3: Pre-Family - Income $80K or Less,D_Hispanic/Latino,,0.100704331,0.149938042,0.049233711,6673,807,0.30095937,0.357232082,2.223641384
"DMA: San Francisco et al, CA (807)",PSY_I will easily switch brands for price or features,,3.323011311,3.754545455,0.431534144,5393,110,1.302482386,1.212975443,2.223194887
model: Subaru WRX,S_OVERALL Exterior Styling,,5.913855971,6.323076923,0.409220952,2194,65,1.126458882,0.867966235,2.222685348
ethnicity: South Asian,D_Education_N,,5.420108776,6.558139535,1.138030759,6803,43,1.757469426,1.991677034,2.222232701
generation: Millennials (1979 - ),PR_Ground Clearance,,3.5314824,3.65085389,0.11937149,6051,1581,1.120858039,1.164689166,2.221859656
"DMA: Phoenix et al, AZ (753)",D_Metropolitan City,,0.169271996,0.327868852,0.158596856,6717,122,0.3750199,0.471372586,2.221206001
occupation: Student,U_Personal uses - Transporting people,,0.827832293,1,0.172167707,1121,7,0.377694643,0,2.221167373
"DMA: Jacksonville, FL (561)",U_Personal uses - Transporting people,,0.827832293,1,0.172167707,1121,7,0.377694643,0,2.221167373
"DMA: Indianapolis, IN (527)",U_Personal uses - Transporting people,,0.827832293,1,0.172167707,1121,7,0.377694643,0,2.221167373
"DMA: Denver, CO (751)",U_Personal uses - Transporting people,,0.827832293,1,0.172167707,1121,7,0.377694643,0,2.221167373
"DMA: Flint-Saginaw et al, MI (513)",S_Instrument Panel,,5.68,6.538461538,0.858461538,2175,13,1.21309931,0.776250026,2.221090516
shop segment: SUV,U_Personal uses - Shopping/errands,,0.978590544,1,0.021409456,1121,84,0.144809521,0,2.221072002
ethnicity: Asian,PT_Needed an additional vehicle,,0.067084759,0.153256705,0.086171946,5262,261,0.250192505,0.360926861,2.220712837
ethnicity: Asian,"PR_Interactive Information System (OnStar, mbrace, iDrive, etc.)",,3.423776718,3.700389105,0.276612387,5661,257,1.201615495,1.182439813,2.220283381
lifestage_3: Older-Family - Income $80K or Less,PSY_I prefer a vehicle that has the capability to outperform others,,3.604375232,3.797402597,0.193027366,5394,385,1.063158195,0.995036383,2.21985271
"DMA: Seattle-Tacoma, WA (819)",Shop_Purchase Price (100's),,27159.34451,29914.66071,2755.316203,4354,56,5403.921078,5518.814735,2.219491316
generation: Leading Edge Boomers (1946 - 1959),PT_I get a new vehicle on a regular basis,,0.077347016,0.113458529,0.036111513,5262,1278,0.267166653,0.317276627,2.218834552
state: Arizona,U_Personal uses - Vacation trips,,0.826048171,0.958333333,0.132285162,1121,24,0.379237244,0.204124145,2.218144727
model: Kia Optima Hybrid,S_Side Mirrors,,5.682539683,6.45,0.767460317,2205,20,1.240165995,0.887041208,2.218107672
cross shop: No,PR_CVT,,3.616357504,3.727881396,0.111523892,5930,2091,1.21136278,1.198117446,2.217603629
shop segment: No Other Make Considered,PR_CVT,,3.616357504,3.727881396,0.111523892,5930,2091,1.21136278,1.198117446,2.217603629
occupation: Health Care - Retired,UF_Personal Use: Pleasure Driving,,2.663669065,3.375,0.711330935,1112,16,1.150357918,0.718795288,2.217550497
occupation: Factory Worker - Retired,"PSY_I prefer vehicles that project a tough, workman-like image",,2.69080417,3.425,0.73419583,5372,40,1.309307139,1.23801951,2.216898159
model: Buick Regal,PR_Headlight Design,,3.640238846,3.914893617,0.274654771,6029,188,1.093252975,1.009681206,2.216158526
shop segment: Smaller Car,PT_Current prices/rebates were appealing,,0.327442037,0.382352941,0.054910904,5262,1292,0.469324631,0.486150282,2.215456615
ethnicity: Asian,D_Age < 35 / Income $70K or Less / College Degree,,0.078717664,0.16,0.081282336,6301,300,0.269318964,0.367218597,2.215149546
marital status: Single,PR_Ground Clearance,,3.5314824,3.636855037,0.105372637,6051,2035,1.120858039,1.130744021,2.21473038
gender: Male,IS_Car and Driver,,0.112836993,0.140674729,0.027837736,5601,3142,0.316421684,0.347741048,2.21410585
shop segment: Smaller Car,IS_Motor Trend,,0.064988395,0.095574086,0.030585691,5601,1559,0.246527391,0.294100597,2.213951904
residence: Metropolitan City,PSY_I want to look good when driving my vehicle,,3.787968808,3.928735632,0.140766824,5386,870,1.099663186,1.04973097,2.213883887
lifestage_3: Younger-Family - Income $80K or Less,PSY_I prefer vehicles that provide superior handling and cornering agility,,4.087527757,4.232142857,0.1446151,5404,504,0.906676183,0.845805092,2.213723257
lifestage_2: Older-Family (Age Oldest Child 13-17),PSY_Price is most important to me when buying a new vehicle,,3.809267841,3.962837838,0.153569997,5395,592,1.033973925,0.965726043,2.213483557
marital status: Single,PSY_Vehicles are a 'tool' or a part of the 'gear' in an active outdoors lifestyle,,3.040366287,3.168918919,0.128552632,5351,1776,1.255811231,1.299474287,2.213349061
"DMA: Chicago, IL (602)",D_People 18 or Older,,2.014973262,2.371428571,0.356455309,5610,140,0.988320297,1.140130354,2.213343781
lifestage_2: Older-Family (Age Oldest Child 13-17),PR_Passenger Seating Capacity,,3.937417437,4.066570188,0.129152751,6056,691,0.92700393,0.877197259,2.213046343
generation: Matures (1945 and Earlier),D_Small Town Or Rural City,,0.340777133,0.408450704,0.067673572,6717,781,0.474005831,0.491862271,2.212777277
dispose segment: Did Not Own,PSY_I see my vehicle as an extension of my personality,,3.598333333,3.817919075,0.219585742,5400,346,1.177817525,1.078819674,2.212671302
model: Subaru WRX,UF_Personal Use: Pleasure Driving,,2.663669065,3.176470588,0.512801523,1112,17,1.150357918,0.52859414,2.212365156
lifestage_2: Older-Family (Age Oldest Child 13-17),"PR_Interest Rate, Credit Terms",,3.964668094,4.126760563,0.162092469,5604,639,1.2427196,1.043514374,2.211600001
"DMA: Orlando et al, FL (534)",PSY_I prefer a balance of comfort and performance,,4.370878103,4.585365854,0.214487751,5398,123,0.741013988,0.639246858,2.211565155
occupation: Skilled Trade - Retired,U_Personal uses - Pleasure driving,,0.91882248,1,0.08117752,1121,18,0.273229439,0,2.211454023
lifestage_3: Pre-Family - Income $80K or Less,D_Partnered Without Children,,0.026838433,0.059756098,0.032917665,5589,820,0.161625509,0.237179065,2.21130331
lifestage: Single Without Children,Shop_Brand Household Loyal,,0.531176345,0.600795756,0.069619411,4667,754,0.499080561,0.490059923,2.211185243
"DMA: Wilkes Barre et al, PA (577)",PR_Overall Experience with Service Department,,4.133859784,4.566666667,0.432806882,5192,30,1.036788851,0.626062316,2.211043771
"DMA: Miami-Ft. Lauderdale, FL (528)",Shop_Considered New / Used,,0.912560722,0.979591837,0.067031115,2882,49,0.28252672,0.142857143,2.210808374
state: Arkansas,PR_Instrument Panel,,4.042391124,4.404761905,0.36237078,6039,42,0.889483278,0.627014755,2.21018842
occupation: Service Worker,PR_Advertising/Promotion,,3.31087344,3.725663717,0.414790277,5610,113,1.288471913,1.189596177,2.20882954
state: Colorado,PR_4WD/AWD Availability,,2.932134248,3.625,0.692865752,5393,56,1.494373792,1.39561,2.207518225
"DMA: San Francisco et al, CA (807)",Shop_# Dealerships Visited Prior to Purchase,,1.561205273,2.086956522,0.525751249,5310,115,1.492216781,1.525026416,2.206603633
dispose segment: Smaller Car,PT_New model caught my attention,,0.160775371,0.199677939,0.038902568,5262,1863,0.367358541,0.399865583,2.205847476
occupation: Other,PR_Haul Cargo in Bed,,2.390275112,2.766037736,0.375762624,3126,265,1.519985722,1.620762937,2.205708293
"DMA: Los Angeles, CA (803)",PR_Smoothness of Transmission,,4.173496365,4.327635328,0.154138963,6052,351,0.8701735,0.765920431,2.205098499
occupation: Other,D_Age < 35 / Income $70K or Less / College Degree,,0.078717664,0.135687732,0.056970068,6301,538,0.269318964,0.342775384,2.204976671
"DMA: Los Angeles, CA (803)",PSY_My vehicle is a reflection of my achievement,,3.142405063,3.40776699,0.265361927,5372,309,1.29921708,1.243974254,2.204737571
ethnicity: Hispanic/Latino,D_Partnered With Children,,0.014850599,0.052252252,0.037401653,5589,555,0.120965603,0.222736042,2.203832445
education: High School Graduate,D_Age Bracket,,50.00797679,52.29550562,2.287528823,6895,890,16.62206635,17.84230643,2.202788553
"DMA: Memphis, TN (640)",D_Gender_N,,1.45186863,1.714285714,0.262417085,7064,42,0.49771321,0.457229957,2.202444533
lifestage_3: Older-Family - Income $80K or Less,S_Ease of Customization,,5.138461538,5.875,0.736538462,1170,48,1.511736019,1.346784982,2.201916357
"DMA: New York, NY (501)",D_Age 35 + / Income More than $70K / College Degree,,0.289001746,0.376744186,0.08774244,6301,430,0.453334703,0.485134355,2.201648869
occupation: Other,PR_Ease Of Customizing,,2.73660631,3.011655012,0.275048702,5357,429,1.466793986,1.513908821,2.201560455
cross shop: No,S_Ground Clearance,,5.451568895,5.636038186,0.184469291,2199,838,1.266670833,1.249129516,2.200556768
shop segment: No Other Make Considered,S_Ground Clearance,,5.451568895,5.636038186,0.184469291,2199,838,1.266670833,1.249129516,2.200556768
occupation: Health Care - Retired,S_OVERALL Experience with Selling Dealership,,5.544444444,6.157894737,0.613450292,2160,38,1.435623872,1.000710985,2.200391927
model: Buick Verano,D_Married Without Children,,0.365718375,0.5625,0.196781625,5589,80,0.481674119,0.499208234,2.199211132
model: Subaru Legacy,S_2nd row Seat Roominess,,5.500232883,5.864,0.363767117,2147,125,1.277219918,1.072711367,2.198823111
model: Buick Regal,PR_Acceleration From Stop,,4.031105228,4.261780105,0.230674876,6044,191,0.93916848,0.86118338,2.198668201
gender: Female,S_Trunk Lid/Tailgate/Liftgate Operation,,5.707149404,5.883295195,0.17614579,2182,874,1.224439437,1.211862005,2.19859499
occupation: Armed Services - Retired,Shop_Considered New / Used,,0.912560722,1,0.087439278,2882,16,0.28252672,0,2.198536137
lifestage_3: Older-Family - Income $80K or Less,PT_Family needs changed,,0.110034208,0.176229508,0.066195301,5262,488,0.312962129,0.381406298,2.197040987
occupation: Executive/Managerial - Retired,Shop_Satisfaction with Disposed Veh,,5.191627212,5.526570048,0.334942837,4013,207,1.546845653,1.280177219,2.197020523
occupation: Other,PSY_I want vehicles that provide that open-air driving experience,,3.412158394,3.629268293,0.217109899,5379,410,1.146018772,1.171846578,2.196894608
"DMA: San Francisco et al, CA (807)",PSY_I'm Curious and Open to Experiences,,3.860003709,4.136363636,0.276359928,5393,110,0.958843618,0.783748611,2.195990421
model: Nissan Altima Sdn,PR_Cupholders,,3.659687604,3.748324646,0.088637042,6018,2686,1.057672194,1.057009495,2.195810529
ethnicity: Hispanic/Latino,Shop_Segment Repurchase Loyal,,0.613214838,0.736526946,0.123312108,2588,167,0.487107876,0.441841612,2.195664187
lifestage_2: Older-Family (Age Oldest Child 13-17),UF_Personal Use: To and From Work,,2.925560538,3.380952381,0.455391843,1115,126,1.668383129,1.289074973,2.19427101
residence: Metropolitan City,D_Age < 35 / Income $70K or Less / College Degree,,0.078717664,0.117591722,0.038874058,6301,1063,0.269318964,0.322275681,2.194105141
gender: Female,PR_Overall Experience with Service Department,,4.133859784,4.224373075,0.090513291,5192,2273,1.036788851,0.978998152,2.193749233
model: Buick Verano,S_OVERALL Noise/Vibration Harshness,,5.40403115,5.777777778,0.373746628,2183,153,1.304937484,1.225937999,2.193202814
model: Toyota Camry Hybrid,PR_Overall Environmental Friendliness,,3.956103533,4.319444444,0.363340912,5718,72,1.017597653,0.836262458,2.191771607
lifestage_2: Younger-Family (Age Oldest Child 1-12),UF_Personal Use: Transporting People,,2.346014493,2.787671233,0.44165674,1104,146,1.319297618,1.390653055,2.191351558
occupation: Sales Work,PSY_My vehicle is my sanctuary,,3.301862197,3.555214724,0.253352527,5370,326,1.235508766,1.22851522,2.191022476
model: Subaru Legacy,S_Front Seat Roominess,,5.730980752,6.080645161,0.34966441,2182,124,1.21187115,1.032770165,2.190728806
lifestage_3: Older-Family - Income $80K or Less,PR_4WD/AWD Availability,,2.932134248,3.200992556,0.268858308,5393,403,1.494373792,1.437521017,2.190630345
marital status: Single,PR_Audiovisual System,,3.826868653,3.924752475,0.097883822,6007,2020,1.059968726,1.055320344,2.189001137
occupation: Other,PR_Interior Roominess,,4.161300974,4.294238683,0.132937709,6057,486,0.808578607,0.779801545,2.188043427
dispose segment: Did Not Own,PSY_I chose my vehicle to reward myself for my hard work,,3.351536468,3.594752187,0.243215719,5402,343,1.264313147,1.207518544,2.18689154
model: Hyundai Sonata Hybrid,D_Post-Family - Income Over $80K,,0.148413313,0.370967742,0.222554429,5168,62,0.355543614,0.487007287,2.185747422
occupation: Health Care,D_Pre-Family - Income $80K or Less,,0.158862229,0.229862475,0.071000246,5168,509,0.365582935,0.421158158,2.185507531
lifestage_3: Older-Family - Income $80K or Less,PSY_There are lots of different brands of vehicles that I would consider buying,,3.339570211,3.559895833,0.220325622,5398,384,1.258844405,1.150119072,2.185492489
gender: Male,PR_Sound of Doors/Trunk/Hatch Shutting,,3.419861203,3.514157973,0.09429677,6052,3355,1.252736729,1.199293856,2.184994368
model: Subaru Legacy,S_Braking,,5.841815681,6.170542636,0.328726955,2181,129,1.147879259,0.993132914,2.184374185
generation: Millennials (1979 - ),PSY_Luxury is Not Important Unless it Has Purpose,,3.472319941,3.602446483,0.130126542,5401,1308,1.121516156,1.186919325,2.184272082
generation: Generation X (1965 - 1978),PSY_I make all large vehicle decisions with my family's best interest in mind,,3.568642161,3.719838057,0.151195896,5332,1235,1.386206196,1.319061097,2.183708684
occupation: Other,PR_CVT,,3.616357504,3.816115702,0.199758198,5930,484,1.21136278,1.171287181,2.183374583
lifestage: Single With Children,U_Personal uses - Pleasure driving,,0.91882248,0.981481481,0.062659002,1121,54,0.273229439,0.136082763,2.18260505
model: Subaru Legacy,S_OVERALL Value For The Money,,5.522464104,5.886178862,0.363714758,2159,123,1.277280709,1.072787483,2.182214366
